0.000000000000000000e+00	-6.172645819959640678e-31
3.999999999999998294e-05	-2.555574818931086423e-08
7.999999999999987102e-05	-2.034907329517539249e-06
1.199999999999997591e-04	-6.305283662382774011e-06
1.599999999999996607e-04	-1.363473863727536401e-05
1.999999999999995488e-04	-2.258153531016152336e-05
2.399999999999994369e-04	-3.068042574010140761e-05
2.800000000000003007e-04	-3.501021553682888892e-05
3.200000000000012730e-04	-3.341527721361282102e-05
3.600000000000022453e-04	-2.617728174225612933e-05
4.000000000000032176e-04	-1.535406095194745421e-05
4.400000000000041898e-04	-4.355058703020766537e-06
4.800000000000051621e-04	4.031118781490914547e-06
5.200000000000061344e-04	8.561324828464005865e-06
5.600000000000071067e-04	9.597654697568320901e-06
6.000000000000080790e-04	8.615796309294042202e-06
6.400000000000090512e-04	7.155671520189316072e-06
6.800000000000100235e-04	6.796979109892899593e-06
7.200000000000109958e-04	6.801171349305414177e-06
7.600000000000119681e-04	7.641527937133315822e-06
8.000000000000129403e-04	8.518346719843052737e-06
8.400000000000139126e-04	9.429724461678382134e-06
8.800000000000148849e-04	9.950917078914649257e-06
9.200000000000158572e-04	9.904981869328474521e-06
9.600000000000168295e-04	9.479336417144222068e-06
1.000000000000015200e-03	8.770111196675616836e-06
1.040000000000011835e-03	8.110792185439219030e-06
1.080000000000008471e-03	7.594003268356817760e-06
1.120000000000005106e-03	7.219561718259453525e-06
1.160000000000001742e-03	7.058434636143086640e-06
1.199999999999998377e-03	6.845709110924423556e-06
1.239999999999995012e-03	6.654215714144915268e-06
1.279999999999991648e-03	6.427720230247096665e-06
1.319999999999988283e-03	6.149922256049056369e-06
1.359999999999984919e-03	5.818488327774799642e-06
1.399999999999981554e-03	5.343153615361860861e-06
1.439999999999978190e-03	4.925456948352205406e-06
1.479999999999974825e-03	4.396664840618656895e-06
1.519999999999971461e-03	3.905511317569932468e-06
1.559999999999968096e-03	3.405157230944159770e-06
1.599999999999964732e-03	2.859009937583509151e-06
1.639999999999961367e-03	2.360222545797718916e-06
1.679999999999958003e-03	1.802495241508562283e-06
1.719999999999954638e-03	1.329596322748812853e-06
1.759999999999951274e-03	9.397467148552459100e-07
1.799999999999947909e-03	6.361499441842992790e-07
1.839999999999944544e-03	3.466552736262704463e-07
1.879999999999941180e-03	-3.036870272939949619e-08
1.919999999999937815e-03	-5.416990326105265477e-07
1.959999999999935752e-03	-1.111647189199571390e-06
1.999999999999941061e-03	-1.649687706300686678e-06
2.039999999999946370e-03	-2.066072616776589225e-06
2.079999999999951679e-03	-2.162415223737551920e-06
2.119999999999956988e-03	-2.049561797229481605e-06
2.159999999999962297e-03	-1.757344245219867073e-06
2.199999999999967606e-03	-1.436630063507514015e-06
2.239999999999972916e-03	-1.177885097910536724e-06
2.279999999999978225e-03	-9.474083575096171150e-07
2.319999999999983534e-03	-7.415279875740352874e-07
2.359999999999988843e-03	-6.008699467294289564e-07
2.399999999999994152e-03	-4.544612868812192109e-07
2.439999999999999461e-03	-3.387003150918253197e-07
2.480000000000004770e-03	-2.962456589222881136e-07
2.520000000000010079e-03	-2.839785360015319805e-07
2.560000000000015388e-03	-3.901256575771691324e-07
2.600000000000020697e-03	-4.615841770004367971e-07
2.640000000000026006e-03	-5.540757441728363472e-07
2.680000000000031316e-03	-6.192589784296099223e-07
2.720000000000036625e-03	-6.652449300119830112e-07
2.760000000000041934e-03	-6.867248235284492145e-07
2.800000000000047243e-03	-6.939997324784302826e-07
2.840000000000052552e-03	-7.138588096255593835e-07
2.880000000000057861e-03	-6.983225558908257412e-07
2.920000000000063170e-03	-7.077007646883237846e-07
2.960000000000068479e-03	-6.642213406606444506e-07
3.000000000000073788e-03	-6.021247711176578427e-07
3.040000000000079097e-03	-5.060035677553446220e-07
3.080000000000084406e-03	-3.571415051986771766e-07
3.120000000000089715e-03	-1.822788481378343016e-07
3.160000000000095025e-03	-5.583053515812134396e-08
3.200000000000100334e-03	-1.126461205027716162e-08
3.240000000000105643e-03	-6.387819261884053052e-08
3.280000000000110952e-03	-1.732816371177382774e-07
3.320000000000116261e-03	-3.176553476038096692e-07
3.360000000000121570e-03	-4.626019439967255137e-07
3.400000000000126879e-03	-5.242416621725505987e-07
3.440000000000132188e-03	-5.592562304148479673e-07
3.480000000000137497e-03	-4.805400378884357743e-07
3.520000000000142806e-03	-3.693445432956238287e-07
3.560000000000148115e-03	-1.806115655979099033e-07
3.600000000000153424e-03	2.721660077512548446e-08
3.640000000000158734e-03	1.843394761500494779e-07
3.680000000000164043e-03	2.810614437570712689e-07
3.720000000000169352e-03	2.181624169789615236e-07
3.760000000000174661e-03	6.922535446933255175e-08
3.800000000000179970e-03	-1.558329359785806503e-07
3.840000000000185279e-03	-3.613509707475668357e-07
3.880000000000190588e-03	-5.073179060669875412e-07
3.920000000000195897e-03	-5.497664795787082271e-07
3.960000000000201206e-03	-5.003595819889675357e-07
4.000000000000206515e-03	-4.231897773692603652e-07
4.040000000000211824e-03	-2.362635278577431316e-07
4.080000000000217134e-03	-4.270306863659235337e-08
4.120000000000222443e-03	1.908642686974974335e-07
4.160000000000227752e-03	4.059151030866300782e-07
4.200000000000233061e-03	5.785554340096762604e-07
4.240000000000238370e-03	6.926388445509765381e-07
4.280000000000243679e-03	7.043845226068042957e-07
4.320000000000248988e-03	6.524156499150257718e-07
4.360000000000254297e-03	5.528903651273916611e-07
4.400000000000259606e-03	4.636224245299882208e-07
4.440000000000264915e-03	4.108875869456550845e-07
4.480000000000270224e-03	3.764930552163767595e-07
4.520000000000275533e-03	3.772771433944045468e-07
4.560000000000280843e-03	3.895228331252455371e-07
4.600000000000286152e-03	3.925270335044759015e-07
4.640000000000291461e-03	3.743324690911293635e-07
4.680000000000296770e-03	3.106167132114167759e-07
4.720000000000302079e-03	2.575607273428428603e-07
4.760000000000307388e-03	1.788712466550396218e-07
4.800000000000312697e-03	1.370255334391728708e-07
4.840000000000318006e-03	1.322037927823670080e-07
4.880000000000323315e-03	1.313683197364551067e-07
4.920000000000328624e-03	1.880455412788592252e-07
4.960000000000333933e-03	2.060581749676926058e-07
5.000000000000339243e-03	2.576603541973892818e-07
5.040000000000344552e-03	2.518923488950673470e-07
5.080000000000349861e-03	2.077609530926135153e-07
5.120000000000355170e-03	1.512667895817051468e-07
5.160000000000360479e-03	5.497152486436911564e-08
5.200000000000365788e-03	-2.759688525563118707e-08
