filename,x,y,source_x,source_y
mirror_Vertical_velocity_5_Source_x_0.675_Source_y_0.825.txt,0.675,0.900,0.675,0.825
mirror_Vertical_velocity_5_Source_x_0.75_Source_y_0.9.txt,0.675,0.900,0.750,0.900
mirror_Vertical_velocity_6_Source_x_-0.6_Source_y_-0.9.txt,-0.525,-0.900,-0.600,-0.900
mirror_Vertical_velocity_6_Source_x_-0.525_Source_y_-0.825.txt,-0.525,-0.900,-0.525,-0.825
mirror_Vertical_velocity_6_Source_x_-0.45_Source_y_-0.9.txt,-0.525,-0.900,-0.450,-0.900
Vertical_velocity_6_Source_x_-0.6_Source_y_0.9.txt,-0.525,0.900,-0.600,0.900
Vertical_velocity_6_Source_x_-0.525_Source_y_0.825.txt,-0.525,0.900,-0.525,0.825
Vertical_velocity_6_Source_x_-0.45_Source_y_0.9.txt,-0.525,0.900,-0.450,0.900
mirror_Vertical_velocity_6_Source_x_0.45_Source_y_-0.9.txt,0.525,-0.900,0.450,-0.900
mirror_Vertical_velocity_6_Source_x_0.525_Source_y_-0.825.txt,0.525,-0.900,0.525,-0.825
mirror_Vertical_velocity_6_Source_x_0.6_Source_y_-0.9.txt,0.525,-0.900,0.600,-0.900
mirror_Vertical_velocity_6_Source_x_0.45_Source_y_0.9.txt,0.525,0.900,0.450,0.900
mirror_Vertical_velocity_6_Source_x_0.525_Source_y_0.825.txt,0.525,0.900,0.525,0.825
mirror_Vertical_velocity_6_Source_x_0.6_Source_y_0.9.txt,0.525,0.900,0.600,0.900
mirror_Vertical_velocity_7_Source_x_-0.45_Source_y_-0.9.txt,-0.375,-0.900,-0.450,-0.900
mirror_Vertical_velocity_7_Source_x_-0.375_Source_y_-0.825.txt,-0.375,-0.900,-0.375,-0.825
mirror_Vertical_velocity_7_Source_x_-0.3_Source_y_-0.9.txt,-0.375,-0.900,-0.300,-0.900
Vertical_velocity_7_Source_x_-0.45_Source_y_0.9.txt,-0.375,0.900,-0.450,0.900
Vertical_velocity_7_Source_x_-0.375_Source_y_0.825.txt,-0.375,0.900,-0.375,0.825
Vertical_velocity_7_Source_x_-0.3_Source_y_0.9.txt,-0.375,0.900,-0.300,0.900
mirror_Vertical_velocity_7_Source_x_0.3_Source_y_-0.9.txt,0.375,-0.900,0.300,-0.900
mirror_Vertical_velocity_7_Source_x_0.375_Source_y_-0.825.txt,0.375,-0.900,0.375,-0.825
mirror_Vertical_velocity_7_Source_x_0.45_Source_y_-0.9.txt,0.375,-0.900,0.450,-0.900
mirror_Vertical_velocity_7_Source_x_0.3_Source_y_0.9.txt,0.375,0.900,0.300,0.900
mirror_Vertical_velocity_7_Source_x_0.375_Source_y_0.825.txt,0.375,0.900,0.375,0.825
mirror_Vertical_velocity_7_Source_x_0.45_Source_y_0.9.txt,0.375,0.900,0.450,0.900
mirror_Vertical_velocity_8_Source_x_-0.3_Source_y_-0.9.txt,-0.225,-0.900,-0.300,-0.900
mirror_Vertical_velocity_8_Source_x_-0.225_Source_y_-0.825.txt,-0.225,-0.900,-0.225,-0.825
mirror_Vertical_velocity_8_Source_x_-0.15_Source_y_-0.9.txt,-0.225,-0.900,-0.150,-0.900
Vertical_velocity_8_Source_x_-0.3_Source_y_0.9.txt,-0.225,0.900,-0.300,0.900
Vertical_velocity_8_Source_x_-0.225_Source_y_0.825.txt,-0.225,0.900,-0.225,0.825
Vertical_velocity_8_Source_x_-0.15_Source_y_0.9.txt,-0.225,0.900,-0.150,0.900
mirror_Vertical_velocity_8_Source_x_0.15_Source_y_-0.9.txt,0.225,-0.900,0.150,-0.900
mirror_Vertical_velocity_8_Source_x_0.225_Source_y_-0.825.txt,0.225,-0.900,0.225,-0.825
mirror_Vertical_velocity_8_Source_x_0.3_Source_y_-0.9.txt,0.225,-0.900,0.300,-0.900
mirror_Vertical_velocity_8_Source_x_0.15_Source_y_0.9.txt,0.225,0.900,0.150,0.900
mirror_Vertical_velocity_8_Source_x_0.225_Source_y_0.825.txt,0.225,0.900,0.225,0.825
mirror_Vertical_velocity_8_Source_x_0.3_Source_y_0.9.txt,0.225,0.900,0.300,0.900
mirror_Vertical_velocity_9_Source_x_-0.15_Source_y_-0.9.txt,-0.075,-0.900,-0.150,-0.900
mirror_Vertical_velocity_9_Source_x_-0.075_Source_y_-0.825.txt,-0.075,-0.900,-0.075,-0.825
mirror_Vertical_velocity_9_Source_x_0_Source_y_-0.9.txt,-0.075,-0.900,0.000,-0.900
Vertical_velocity_9_Source_x_-0.15_Source_y_0.9.txt,-0.075,0.900,-0.150,0.900
Vertical_velocity_9_Source_x_-0.075_Source_y_0.825.txt,-0.075,0.900,-0.075,0.825
Vertical_velocity_9_Source_x_0_Source_y_0.9.txt,-0.075,0.900,0.000,0.900
mirror_Vertical_velocity_9_Source_x_-0_Source_y_-0.9.txt,0.075,-0.900,0.000,-0.900
mirror_Vertical_velocity_9_Source_x_0.075_Source_y_-0.825.txt,0.075,-0.900,0.075,-0.825
mirror_Vertical_velocity_9_Source_x_0.15_Source_y_-0.9.txt,0.075,-0.900,0.150,-0.900
mirror_Vertical_velocity_9_Source_x_-0_Source_y_0.9.txt,0.075,0.900,0.000,0.900
mirror_Vertical_velocity_9_Source_x_0.075_Source_y_0.825.txt,0.075,0.900,0.075,0.825
mirror_Vertical_velocity_9_Source_x_0.15_Source_y_0.9.txt,0.075,0.900,0.150,0.900
mirror_Vertical_velocity_10_Source_x_-1.35_Source_y_-0.9.txt,-1.350,-0.825,-1.350,-0.900
mirror_Vertical_velocity_10_Source_x_-1.35_Source_y_-0.75.txt,-1.350,-0.825,-1.350,-0.750
mirror_Vertical_velocity_10_Source_x_-1.27_Source_y_-0.825.txt,-1.350,-0.825,-1.275,-0.825
Vertical_velocity_10_Source_x_-1.35_Source_y_0.75.txt,-1.350,0.825,-1.350,0.750
Vertical_velocity_10_Source_x_-1.35_Source_y_0.9.txt,-1.350,0.825,-1.350,0.900
Vertical_velocity_10_Source_x_-1.275_Source_y_0.825.txt,-1.350,0.825,-1.275,0.825
mirror_Vertical_velocity_10_Source_x_1.27_Source_y_-0.825.txt,1.350,-0.825,1.275,-0.825
mirror_Vertical_velocity_10_Source_x_1.35_Source_y_-0.9.txt,1.350,-0.825,1.350,-0.900
mirror_Vertical_velocity_10_Source_x_1.35_Source_y_-0.75.txt,1.350,-0.825,1.350,-0.750
mirror_Vertical_velocity_10_Source_x_1.27_Source_y_0.825.txt,1.350,0.825,1.275,0.825
mirror_Vertical_velocity_10_Source_x_1.35_Source_y_0.75.txt,1.350,0.825,1.350,0.750
mirror_Vertical_velocity_10_Source_x_1.35_Source_y_0.9.txt,1.350,0.825,1.350,0.900
mirror_Vertical_velocity_11_Source_x_-1.27_Source_y_-0.825.txt,-1.200,-0.825,-1.275,-0.825
mirror_Vertical_velocity_11_Source_x_-1.2_Source_y_-0.9.txt,-1.200,-0.825,-1.200,-0.900
mirror_Vertical_velocity_11_Source_x_-1.2_Source_y_-0.75.txt,-1.200,-0.825,-1.200,-0.750
mirror_Vertical_velocity_11_Source_x_-1.12_Source_y_-0.825.txt,-1.200,-0.825,-1.125,-0.825
Vertical_velocity_11_Source_x_-1.275_Source_y_0.825.txt,-1.200,0.825,-1.275,0.825
Vertical_velocity_11_Source_x_-1.2_Source_y_0.75.txt,-1.200,0.825,-1.200,0.750
Vertical_velocity_11_Source_x_-1.2_Source_y_0.9.txt,-1.200,0.825,-1.200,0.900
Vertical_velocity_11_Source_x_-1.125_Source_y_0.825.txt,-1.200,0.825,-1.125,0.825
mirror_Vertical_velocity_11_Source_x_1.12_Source_y_-0.825.txt,1.200,-0.825,1.125,-0.825
mirror_Vertical_velocity_11_Source_x_1.2_Source_y_-0.9.txt,1.200,-0.825,1.200,-0.900
